,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
731,,,,,,,,0,0,0,I hate animals I never ever pet Do nt know guys actually like dogs cats,1539197872660
732,,,,,,,,0,0,0,Where hell country headed Punishing women death penalty would cut abortions Idaho Republican ca,1539197872663
733,PSAT,psatmemes,,,,,,0,0,0,PSAT psatmemes PSAT George H W Bush recieves foot tapestry tip many stars Dave Bill review t,1539197872662
734,,,,,,,,0,0,0,goddess throwing shade,1539197872664
735,,,,,,,,0,0,0,I m ignoring I m mentally prepared engage conversation Will respond soon tab brain,1539197872665
736,,,,,,,,0,0,0,Uh huh You guys nearly got swept broken Celtics team without best players,1539197872658
739,,,,,,,,0,0,0,The hardest story I ever written Four years ago wife mental breakdown What followed cycle of,1539197872664
740,,,,,,,,0,0,0,Found video I posted youtube Hey man ya never know ya might run Its small world,1539197872666
741,,,,,,,,0,0,0,This wants intentionally incites encouraging esp thru its ral,1539197872657
742,,,,,,,,0,0,0,Dream Color The Remixes Terrific reimaginings,1539197872665
743,,,,,,,,0,0,0,fact glass slightly right really annoying,1539197872657
744,,,,,,,,0,0,0,Lashes me Book me,1539197872665
745,DailyFunk,,,,,,,0,0,0,Take two call morning DailyFunk,1539197872662
746,,,,,,,,0,0,0,I get mom,1539197872665
747,,,,,,,,0,0,0,I promise grow Christ relationship,1539197872657
748,PSATmemes,,,,,,,0,0,0,College Board canceling scores seeing PSATmemes,1539197872666
749,,,,,,,,0,0,0,u got ta say like sometimes move tf,1539197873661
750,,,,,,,,0,0,0,Built one million Lego pieces replica Bugatti one unique attractions unveiled Paris Motor S,1539197873665
751,Advice,,,,,,,0,0,0,If Shatta Wale dey wear alumi den militants go wear copper oo Advice,1539197873660
753,,,,,,,,0,0,0,Honestly Some girls lucky main chick different relationships,1539197873659
754,psat,psat2018,,,,,,0,0,0,psat context psat psat,1539197873663
755,,,,,,,,0,0,0,Fuck I turning crip,1539197873665
